PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
JP Richardson,2574017,WR,CHI,@SF,,,,,,,,,,,,,29.00,,,,,,,,,,367,0.00
Calvin Ridley,2560854,WR,TEN,NO,,,,,,,,,,,,,30.90,,,,,,,,,,368,0.00
Allen Robinson,2543509,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,369,0.00
Justyn Ross,2568432,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,370,0.00
Kyrese Rowan,2574104,WR,DEN,@KC,,,,,,,,,,,,,17.90,,,,,,,,,,371,0.00
Jalen Royals,2574254,WR,KC,DEN,,,,,,,,,,,,,4.40,,,,,,,,,,372,0.00
Curtis Samuel,2558066,WR,BUF,PHI,,,,,,,,,,,,,24.90,,,,,,,,,,373,0.00
Braylon Sanders,2569038,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,374,0.00
Tyler Scott,2569630,WR,LAR,@ATL,,,,,,,,,,,,,26.00,,,,,,,,,,375,0.00
T.J. Sheffield,2574162,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,376,0.00
Laviska Shenault Jr.,2564232,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,377,0.00
Sterling Shepard,2555295,WR,TB,@MIA,,,,,,,,,,,,,52.20,,,,,,,,,,378,0.00
Will Sheppard,2574638,WR,GB,BAL,,,,,,,,,,,,,41.90,,,,,,,,,,379,0.00
Trent Sherfield,2561272,WR,ARI,@CIN,,,,,,,,,,,,,20.80,,,,,,,,,,380,0.00
Justin Shorter,2569579,WR,LV,NYG,,,,,,,,,,,,,22.00,,,,,,,,,,381,0.00
Steven Sims,2563033,WR,ARI,@CIN,,,,,,,,,,,,,20.80,,,,,,,,,,382,0.00
Dorian Singer,2574232,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,383,0.00
Quentin Skinner,2574448,WR,NYJ,NE,,,,,,,,,,,,,16.60,,,,,,,,,,384,0.00
Quincy Skinner Jr.,2573918,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,385,0.00
Ben Skowronek,2566247,WR,PIT,@CLE,,,,,,,,,,,,,9.00,,,,,,,,,,386,0.00
Ainias Smith,2572393,WR,CAR,SEA,,,,,,,,,,,,,9.30,,,,,,,,,,387,0.00
Brandon Smith,2566839,WR,NE,@NYJ,,,,,,,,,,,,,35.10,,,,,,,,,,388,0.00
Jaden Smith,2574651,WR,TB,@MIA,,,,,,,,,,,,,52.20,,,,,,,,,,389,0.00
Key'Shawn Smith,2574309,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,390,0.00
Ihmir Smith-Marsette,2566319,WR,NYG,@LV,,,,,,,,,,,,,25.10,,,,,,,,,,391,0.00
Equanimeous St. Brown,2560883,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,392,0.00
Drake Stoops,2573746,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,393,0.00
Mike Strachan,2565615,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,394,0.00
Blayne Taylor,2574197,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,395,0.00
