PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Davante Adams,2543495,WR,LAR,ARI,,,,,,,,,,,,,0.00,,,,,,,,,,1,0.00
Jordan Addison,2570074,WR,MIN,GB,,,,,,1,8,,,,,,0.00,,1,1,1,3,33,,,,2,0.00
Ife Adeyi,2574628,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,3,0.00
Nelson Agholor,2552600,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,4,0.00
Jamal Agnew,2558821,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,5,0.00
Brandon Aiyuk,2565093,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,6,0.00
Ajou Ajou,2574182,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,7,0.00
Kelly Akharaiyi,2573955,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,8,0.00
Maurice Alexander,2569528,WR,CHI,DET,,,,,,,,,,,,,0.00,,,,,,,,,,9,0.00
Kazmeir Allen,2571641,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,10,0.00
Keenan Allen,2540154,WR,LAC,@DEN,,,,,,7,36,,,,,,0.00,,7,7,7,13,54,,,,11,0.00
Andrew Armstrong,2574316,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,12,0.00
Tutu Atwell,2566196,WR,LAR,ARI,,,,,,1,19,,,,,,0.00,,1,1,1,3,33,,,,13,0.00
Calvin Austin III,2568132,WR,PIT,BAL,,,,,,3,55,1,,,,,0.00,,3,3,3,7,43,,,,14,0.00
Kevin Austin Jr.,2568954,WR,NO,@ATL,,,,,,4,37,,,,,,0.00,,4,4,4,9,44,,,,15,0.00
Elic Ayomanor,2574142,WR,TEN,@JAX,,,,,,3,50,,,,,,0.00,,3,3,3,10,30,,,,16,0.00
Andre Baccellia,2564250,WR,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,17,0.00
Alex Bachman,2563301,WR,LV,KC,,,,,,,,,,,,1,0.00,,,,,,,,,,18,0.00
Elijhah Badger,2574238,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,19,0.00
Javon Baker,2572285,WR,SF,SEA,,,,,,,,,,,,,0.00,,,,,,,,,,20,0.00
Kawaan Baker,2566349,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,21,0.00
Monaray Baldwin,2574318,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,22,0.00
Michael Bandy,2567175,WR,DEN,LAC,,,,,,,,,,,,,0.00,,,,,,,,,,23,0.00
Jahmal Banks,2573923,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,24,0.00
Rashod Bateman,2565836,WR,BAL,@PIT,,,,,,,,,,,,,0.00,,,,,,,,,,25,0.00
Jack Bech,2574285,WR,LV,KC,,,,,,,,,,,,,0.00,,,,,2,,,,,26,0.00
Odell Beckham Jr.,2543496,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,27,0.00
David Bell,2567460,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,28,0.00
Ronnie Bell,2570290,WR,NO,@ATL,,,,,,2,23,1,,,,,0.00,,2,2,2,4,50,1,,,29,0.00
Junior Bergen,2574535,WR,SF,SEA,,,,,,,,,,,,,0.00,,,,,,,,,,30,0.00
Braxton Berrios,2560975,WR,HOU,IND,,,,,,,,,,,,,0.00,,,,,,,,,,31,0.00
Tarik Black,2565594,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,32,0.00
Chris Blair,2565588,WR,ATL,NO,,,,,,,,,,,,,0.00,,,,,,,,,,33,0.00
DeMeer Blankumsee,2574364,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,34,0.00
Jordan Bly,2574415,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,35,0.00
Jake Bobo,2571378,WR,SEA,@SF,,,,,,,,,,,,,0.00,,,,,,,,,,36,0.00
Silas Bolden,2574339,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,37,0.00
Isaiah Bond,2574663,WR,CLE,@CIN,,,,4,,1,13,,,,,,0.00,1,1,2,1,2,50,,,,38,0.00
Kendrick Bourne,2558914,WR,SF,SEA,,,,,,,,,,,,,0.00,,,,,1,,,,,39,0.00
Kayshon Boutte,2570092,WR,NE,MIA,,,,,,2,24,,,,,,0.00,,2,2,2,4,50,,,,40,0.00
Tyler Boyd,2555466,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,41,0.00
Miles Boykin,2562631,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,42,0.00
Chandler Brayboy,2574208,WR,JAX,TEN,,,,,,,,,,,,,0.00,,,,,,,,,,43,0.00
Tyrone Broden,2574555,WR,SEA,@SF,,,,,,,,,,,,,0.00,,,,,,,,,,44,0.00
Ja'Corey Brooks,2574606,WR,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,45,0.00
Jalen Brooks,2569696,WR,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,46,0.00
A.J. Brown,2562238,WR,PHI,WAS,,,,,,,,,,,,,0.00,,,,,,,,,,47,0.00
Dyami Brown,2566586,WR,JAX,TEN,,,,,,1,8,,,,,,0.00,,1,1,1,1,100,,,,48,0.00
Marquise Brown,2562379,WR,KC,@LV,,,,,,3,64,,,,,,0.00,,3,3,3,6,50,,,,49,0.00
Noah Brown,2558091,WR,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,50,0.00
Sam Brown Jr.,2574623,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,51,0.00
Jason Brownlee,2570608,WR,KC,@LV,,,,,,,,,,,,,0.00,,,,,,,,,,52,0.00
Pat Bryant,2574086,WR,DEN,LAC,,,,,,4,31,,,,,,0.00,,4,4,4,5,80,,,,53,0.00
Luther Burden III,2574004,WR,CHI,DET,,,,10,,3,35,,,,,,0.00,1,3,4,3,4,75,,,,54,0.00
Cole Burgess,2572983,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,55,0.00
Treylon Burks,2567643,WR,WAS,@PHI,,,,,,2,12,,,,,,0.00,,2,2,2,4,50,,,,56,0.00
Jermaine Burton,2571922,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,57,0.00
Deon Cain,2560987,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,58,0.00
Marquez Callaway,2565310,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,59,0.00
Dalen Cambre,2574416,WR,NYG,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,60,0.00
Dalevon Campbell,2574508,WR,LAC,@DEN,,,,,,,,,,,,,0.00,,,,,,,,,,61,0.00
Parris Campbell,2562495,WR,DAL,@NYG,,,,,,,,,,,,,0.00,,,,,,,,,,62,0.00
Cam Camper,2574209,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,63,0.00
DeAndre Carter,2553502,WR,CLE,@CIN,,,,,,,,,,,,,0.00,,,,,,,,,,64,0.00
Joshua Cephus,2573193,WR,JAX,TEN,,,,,,,,,,,,,0.00,,,,,,,,,,65,0.00
Quintez Cephus,2563926,WR,HOU,IND,,,,,,,,,,,,,0.00,,,,,,,,,,66,0.00
DJ Chark,2561018,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,67,0.00
Irvin Charles,2568021,WR,NYJ,@BUF,,,,,,,,,,,,,0.00,,,,,,,,,,68,0.00
Ja'Marr Chase,2565941,WR,CIN,CLE,,,,,,8,96,1,,,,,0.00,,8,8,8,10,80,1,,1,69,0.00
Dan Chisena,2564514,WR,CAR,@TB,,,,,,,,,,,,,0.00,,,,,,,,,,70,0.00
Efton Chism III,2574369,WR,NE,MIA,,,,,,1,35,,,,,,0.00,,1,1,1,1,100,,,,71,0.00
Robbie Chosen,2556462,WR,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,72,0.00
Chase Claypool,2564970,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,73,0.00
Jalen Coker,2572920,WR,CAR,@TB,,,,,,6,47,1,,,,,0.00,,6,6,6,7,86,1,,1,74,0.00
Keon Coleman,2571859,WR,BUF,NYJ,,,,,,2,49,,,,1,,0.00,,2,2,2,4,50,,,,75,0.00
Beaux Collins,2574418,WR,NYG,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,76,0.00
Nico Collins,2566127,WR,HOU,IND,,,,,,,,,,,,,0.00,,,,,,,,,,77,0.00
Brandin Cooks,2543498,WR,BUF,NYJ,,,,,,,,,,,,,0.00,,,,,,,,,,78,0.00
Elijah Cooks,2571029,WR,NO,@ATL,,,,,,,,,,,,,0.00,,,,,,,,,,79,0.00
Amari Cooper,2552487,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,80,0.00
Darius Cooper,2574456,WR,PHI,WAS,,,,,,3,33,,,,,,0.00,,3,3,3,5,60,,,,81,0.00
Malachi Corley,2572357,WR,CLE,@CIN,,,,18,,2,20,,,,,,0.00,3,2,5,2,2,100,,,,82,0.00
Chase Cota,2570948,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,83,0.00
Britain Covey,2568066,WR,PHI,WAS,,,,,,2,20,,,,,,0.00,,2,2,2,4,50,,,,84,0.00
Jacob Cowing,2572492,WR,SF,SEA,,,,,,,,,,,,,0.00,,,,,,,,,,85,0.00
River Cracraft,2559485,WR,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,86,0.00
Jalen Cropper,2570870,WR,DAL,@NYG,,,,,,,,,,,,,0.00,,,,,,,,,,87,0.00
Malik Cunningham,2571222,WR,DET,@CHI,,,,,,,,,,,,,0.00,,,,,,,,,,88,0.00
Mac Dalena,2574244,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,89,0.00
Roderick Daniels Jr.,2574660,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,90,0.00
Derius Davis,2570272,WR,LAC,@DEN,,,,,,1,7,,,,,,0.00,,1,1,1,1,100,,,,91,0.00
Gabe Davis,2563602,WR,BUF,NYJ,,,,,,5,41,1,,,,,0.00,,5,5,5,7,71,2,1,1,92,0.00
Joaquin Davis,2574089,WR,MIN,GB,,,,,,,,,,,,,0.00,,,,,,,,,,93,0.00
Kaden Davis,2568732,WR,CLE,@CIN,,,,,,,,,,,,,0.00,,,,,,,,,,94,0.00
Tank Dell,2569813,WR,HOU,IND,,,,,,,,,,,,,0.00,,,,,,,,,,95,0.00
Stefon Diggs,2552608,WR,NE,MIA,,,,,,3,43,,,,,,0.00,,3,3,3,3,100,,,,96,0.00
Chimere Dike,2574147,WR,TEN,@JAX,,,,,,3,27,,,,,,0.00,,3,3,3,4,75,,,,97,0.00
Moochie Dixon,2574399,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,98,0.00
Phillip Dorsett,2552424,WR,LV,KC,,,,,,,,,,,,,0.00,,,,,,,,,,99,0.00
Greg Dortch,2562645,WR,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,100,0.00
Jahan Dotson,2568321,WR,PHI,WAS,,,,,,3,40,,,,,,0.00,,3,3,3,8,38,,,,101,0.00
Romeo Doubs,2567586,WR,GB,@MIN,,,,,,,,,,,,,0.00,,,,,,,,,,102,0.00
DeMario Douglas,2570119,WR,NE,MIA,,,,,,2,29,,,,,,0.00,,2,2,2,3,67,,,,103,0.00
Colton Dowell,2569801,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,104,0.00
Josh Downs,2569861,WR,IND,@HOU,,,,-5,,4,61,,,,,,0.00,1,4,5,4,4,100,,,,105,0.00
Dylan Drummond,2571446,WR,ATL,NO,,,,,,,,,,,,,0.00,,,,,,,,,,106,0.00
Grant DuBose,2569786,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,107,0.00
Ashton Dulin,2562646,WR,IND,@HOU,,,,,,,,,,,,,0.00,,,,,2,,,,,108,0.00
Devin Duvernay,2563551,WR,CHI,DET,,,,,,,,,,,,,0.00,,,,,,,,,,109,0.00
Tru Edwards,2574266,WR,LAR,ARI,,,,,,,,,,,,,0.00,,,,,,,,,,110,0.00
Emeka Egbuka,2574585,WR,TB,CAR,,,,,,1,8,,,,,,0.00,,1,1,1,3,33,,,,111,0.00
Dee Eskridge,2566553,WR,MIA,@NE,,,,,,,,,,,,,0.00,,,,,,,,,,112,0.00
Mike Evans,2543468,WR,TB,CAR,,,,,,2,34,,,,,,0.00,,2,2,2,2,100,,,,113,0.00
Erik Ezukanma,2567889,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,114,0.00
Simi Fehoko,2566004,WR,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,115,0.00
Da'Quan Felton,2574420,WR,NYG,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,116,0.00
Tai Felton,2574344,WR,MIN,GB,,,,,,,,,,,,,0.00,,,,,,,,,,117,0.00
Dez Fitzpatrick,2566109,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,118,0.00
Dontae Fleming,2574345,WR,MIN,GB,,,,,,,,,,,,,0.00,,,,,,,,,,119,0.00
Luke Floriea,2574044,WR,CLE,@CIN,,,,,,,,,,,,,0.00,,,,,,,,,,120,0.00
Ryan Flournoy,2571970,WR,DAL,@NYG,,,,,,5,68,,,,,,0.00,,5,5,5,7,71,,,,121,0.00
Zay Flowers,2569573,WR,BAL,@PIT,,,,,,4,138,2,,,,,0.00,,4,4,4,6,67,,,,122,0.00
Bryce Ford-Wheaton,2570590,WR,NYG,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,123,0.00
Montorie Foster Jr,2574559,WR,SEA,@SF,,,,,,,,,,,,,0.00,,,,,,,,,,124,0.00
Troy Franklin,2571997,WR,DEN,LAC,,,,,,,,,,,,,0.00,,,,,1,,,,,125,0.00
Zakhari Franklin,2574291,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,126,0.00
Russell Gage,2561061,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,127,0.00
Michael Gallup,2560735,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,128,0.00
Jacolby George,2573981,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,129,0.00
Jaelen Gill,2573785,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,130,0.00
Xavier Gipson,2570614,WR,NYG,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,131,0.00
Chris Godwin Jr.,2558105,WR,TB,CAR,,,,,,1,8,,,,,,0.00,,1,1,1,1,100,,,,132,0.00
Matthew Golden,2574130,WR,GB,@MIN,,,,,,1,8,,,,,,0.00,,1,1,1,3,33,,,,133,0.00
Stephen Gosnell,2573958,WR,BUF,NYJ,,,,,,,,,,,,,0.00,,,,,,,,,,134,0.00
Anthony Gould,2572120,WR,IND,@HOU,,,,,,,,,,,,,0.00,,,,,,,,,,135,0.00
Danny Gray,2568210,WR,PHI,WAS,,,,,,,,,,,,,0.00,,,,,,,,,,136,0.00
Bryson Green,2574483,WR,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,137,0.00
Garrett Greene,2574586,WR,TB,CAR,,,,,,,,,,,,,0.00,,,,,,,,,,138,0.00
Luke Grimm,2574512,WR,LAC,@DEN,,,,,,,,,,,,,0.00,,,,,,,,,,139,0.00
Xavier Guillory,2573929,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,140,0.00
KJ Hamler,2563890,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,141,0.00
Mecole Hardman,2562580,WR,BUF,NYJ,,,,,,,,,,,,,0.00,,,,,,,,,,142,0.00
Kelvin Harmon,2562577,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,143,0.00
Jacob Harris,2566220,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,144,0.00
Tre Harris,2574515,WR,LAC,@DEN,,,,,,2,28,,,,,,0.00,,2,2,2,6,33,,,,145,0.00
Marvin Harrison Jr.,2572411,WR,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,146,0.00
Malik Heath,2570518,WR,ATL,NO,,,,,,,,,,,,,0.00,,,,,,,,,,147,0.00
A.J. Henning,2574324,WR,MIA,@NE,,,,,,,,,,,,,0.00,,,,,,,,,,148,0.00
Julian Hicks,2572799,WR,GB,@MIN,,,,,,,,,,,,,0.00,,,,,,,,,,149,0.00
Jayden Higgins,2574170,WR,HOU,IND,,,,,,2,23,1,,,,,0.00,,2,2,2,5,40,1,,,150,0.00
Tee Higgins,2563731,WR,CIN,CLE,,,,,,6,67,1,,,,,0.00,,6,6,6,9,67,2,,1,151,0.00
Tyreek Hill,2556214,WR,MIA,@NE,,,,,,,,,,,,,0.00,,,,,,,,,,152,0.00
KhaDarel Hodge,2561653,WR,ATL,NO,,,,,,,,,,,,,0.00,,,,,,,,,,153,0.00
Isaiah Hodgins,2563611,WR,NYG,DAL,,,,,,,,,,,,,0.00,,,,,2,,,,,154,0.00
Traeshon Holden,2574076,WR,DAL,@NYG,,,,,,,,,,,,,0.00,,,,,,,,,,155,0.00
Jimmy Holiday,2574247,WR,KC,@LV,,,,,,,,,,,,,0.00,,,,,,,,,,156,0.00
Mack Hollins,2558262,WR,NE,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,157,0.00
DeAndre Hopkins,2540165,WR,BAL,@PIT,,,,,,,,,,,,,0.00,,,,,2,,,,,158,0.00
Jimmy Horn Jr.,2573985,WR,CAR,@TB,,,,,,1,15,,,,,,0.00,,1,1,1,1,100,,,,159,0.00
Tory Horton,2574561,WR,SEA,@SF,,,,,,,,,,,,,0.00,,,,,,,,,,160,0.00
Dennis Houston,2568693,WR,TB,CAR,,,,,,,,,,,,,0.00,,,,,,,,,,161,0.00
Kobe Hudson,2573986,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,162,0.00
Lil'Jordan Humphrey,2562668,WR,DEN,LAC,,,,,,,,,,,,,0.00,,,,,,,,,,163,0.00
Travis Hunter,2574217,WR,JAX,TEN,,,,,,,,,,,,,0.00,,,,,,,,,,164,0.00
Xavier Hutchinson,2569825,WR,HOU,IND,,,,,,5,84,,,,,,0.00,,5,5,5,9,56,,,,165,0.00
Jalin Hyatt,2570152,WR,NYG,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,166,0.00
Andrei Iosivas,2569657,WR,CIN,CLE,,,,,,2,10,,,,,,0.00,,2,2,2,3,67,,,,167,0.00
Trenton Irwin,2562900,WR,NYJ,@BUF,,,,,,,,,,,,,0.00,,,,,,,,,,168,0.00
Andy Isabella,2562669,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,169,0.00
Qadir Ismail,2573857,WR,CHI,DET,,,,,,,,,,,,,0.00,,,,,,,,,,170,0.00
Courtney Jackson,2574091,WR,SEA,@SF,,,,,,,,,,,,,0.00,,,,,,,,,,171,0.00
Daniel Jackson,2574172,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,172,0.00
Giles Jackson,2574460,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,173,0.00
JaQuae Jackson,2572875,WR,LAC,@DEN,,,,,,,,,,,,,0.00,,,,,,,,,,174,0.00
Jha'Quan Jackson,2572069,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,175,0.00
John Jackson,2573843,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,176,0.00
Ketron Jackson Jr.,2574297,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,177,0.00
Lucky Jackson,2571730,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,178,0.00
Shedrick Jackson,2570828,WR,LV,KC,,,,3,,1,11,,,,,,0.00,1,1,2,1,1,100,,,,179,0.00
Trishton Jackson,2564355,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,180,0.00
Jadon Janke,2573157,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,181,0.00
Rakim Jarrett,2571575,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,182,0.00
Justin Jefferson,2564556,WR,MIN,GB,,,,3,,8,101,,,,,,0.00,1,8,9,8,11,73,,,,183,0.00
Van Jefferson,2564358,WR,TEN,@JAX,,,,,,,,,,,,,0.00,,,,,,,,,,184,0.00
Jauan Jennings,2565114,WR,SF,SEA,,,,,,4,35,,,,,,0.00,,4,4,4,6,67,,,,185,0.00
Jerry Jeudy,2563896,WR,CLE,@CIN,,,,5,,2,17,,,,,,0.00,1,2,3,2,6,33,,,,186,0.00
John Jiles,2573491,WR,NE,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,187,0.00
Brandon Johnson,2568738,WR,PIT,BAL,,,,,,,,,,,,,0.00,,,,,,,,,,188,0.00
Collin Johnson,2564202,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,189,0.00
Cornelius Johnson,2572474,WR,BAL,@PIT,,,,,,,,,,,,,0.00,,,,,,,,,,190,0.00
Diontae Johnson,2562674,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,191,0.00
Jaylen Johnson,2573791,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,192,0.00
Johnny Johnson III,2568879,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,193,0.00
Kameron Johnson,2573572,WR,TB,CAR,,,,,,,,,,,,,0.00,,,,,,,,,,194,0.00
Kisean Johnson,2574051,WR,GB,@MIN,,,,,,,,,,,,,0.00,,,,,,,,,,195,0.00
Tez Johnson,2574589,WR,TB,CAR,,,,5,,1,17,,,,,,0.00,1,1,2,1,1,100,,,,196,0.00
Tyler Johnson,2565225,WR,NYJ,@BUF,,,,,,,,,,,,,0.00,,,,,,,,,,197,0.00
Xavier Johnson,2572911,WR,CIN,CLE,,,,,,,,,,,,,0.00,,,,,,,,,,198,0.00
Quentin Johnston,2570275,WR,LAC,@DEN,,,,,,,,,,,,,0.00,,,,,,,,,,199,0.00
Charlie Jones,2569645,WR,CIN,CLE,,,,,,,,,,,,,0.00,,,,,,,,,,200,0.00
J.J. Jones,2574219,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,201,0.00
Jacoby Jones,2574610,WR,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,202,0.00
Jaylen Jones,2574516,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,203,0.00
Jeshaun Jones,2573298,WR,MIN,GB,,,,,,,,,,,,,0.00,,,,,,,,,,204,0.00
Tim Jones,2565624,WR,JAX,TEN,,,,,,,,,,,,,0.00,,,,,,,,,,205,0.00
Zay Jones,2557863,WR,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,206,0.00
Tyler Kahmann,2574189,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,207,0.00
Jakobie Keeney-James,2574113,WR,GB,@MIN,,,,,,2,15,,,,,,0.00,,2,2,2,2,100,,,,208,0.00
Josh Kelly,2574078,WR,HOU,IND,,,,,,,,,,,,,0.00,,,,,,,,,,209,0.00
Tom Kennedy,2563319,WR,DET,@CHI,,,,,,,,,,,,,0.00,,,,,,,,,,210,0.00
Ramel Keyton,2573232,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,211,0.00
Mason Kinsey,2565459,WR,TEN,@JAX,,,,,,,,,,,,,0.00,,,,,,,,,,212,0.00
Christian Kirk,2560781,WR,HOU,IND,,,,,,1,-3,,,,,,0.00,,1,1,1,2,50,,,,213,0.00
Keith Kirkwood,2561224,WR,BAL,@PIT,,,,,,,,,,,,,0.00,,,,,,,,,,214,0.00
Malik Knowles,2571216,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,215,0.00
Cooper Kupp,2557898,WR,SEA,@SF,,,,,,2,29,,,,,,0.00,,2,2,2,3,67,,,,216,0.00
CeeDee Lamb,2563848,WR,DAL,@NYG,,,,,,1,4,,,,,,0.00,,1,1,1,1,100,,,,217,0.00
KeAndre Lambert-Smith,2574521,WR,LAC,@DEN,,,,,,2,24,,,,,,0.00,,2,2,2,5,40,,,,218,0.00
Matt Landers,2571351,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,219,0.00
Jaylin Lane,2574612,WR,WAS,@PHI,,,,,,,,,,,,,0.00,,,,,,,,,,220,0.00
Gage Larvadain,2574054,WR,CLE,@CIN,,,,,,,,,,,,,0.00,,,,,,,,,,221,0.00
Darius Lassiter,2574222,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,222,0.00
Allen Lazard,2560787,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,223,0.00
Xavier Legette,2571889,WR,CAR,@TB,,,,,,3,22,,,,,,0.00,,3,3,3,4,75,,,,224,0.00
Montana Lemonious-Craig,2574622,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,225,0.00
Robert Lewis,2574353,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,226,0.00
Tyler Lockett,2552430,WR,LV,KC,,,,,,1,5,,,,,,0.00,,1,1,1,5,20,,,,227,0.00
Drake London,2567250,WR,ATL,NO,,,,,,4,78,1,,,,,0.00,,4,4,4,8,50,2,,1,228,0.00
Dominic Lovett,2574115,WR,DET,@CHI,,,,,,,,,,,,,0.00,,,,,,,,,,229,0.00
T.J. Luther,2570599,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,230,0.00
Phil Lutz,2574668,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,231,0.00
Terrace Marshall Jr.,2565902,WR,PHI,WAS,,,,,,,,,,,,,0.00,,,,,,,,,,232,0.00
Tay Martin,2569254,WR,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,233,0.00
