PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Trey McBride,2568117,TE,ARI,@CIN,,,,,,10,76,1,,,,,21.30,,10,10,10,13,77,2,1,,1,18.60
Colston Loveland,2574014,TE,CHI,@SF,,,,,,6,94,1,,,,,22.60,,6,6,6,10,60,,,,2,18.40
Jake Tonges,2567439,TE,SF,CHI,,,,,,7,60,1,,,,,16.10,,7,7,7,9,78,2,1,1,3,15.50
Greg Dulcich,2567520,TE,MIA,TB,,,,-7,,5,58,1,,,,,16.20,1,5,6,5,6,83,2,2,3,4,13.60
Michael Mayer,2570032,TE,LV,NYG,,,,,,9,89,,,,,,13.40,,9,9,9,10,90,,,,5,13.40
Chig Okonkwo,2567658,TE,TEN,NO,,,,,,3,55,1,,,,,17.10,,3,3,3,7,43,,,,6,13.00
Terrance Ferguson,2574267,TE,LAR,@ATL,,,,,,2,54,1,,,,,20.70,,2,2,2,4,50,,,,7,12.40
Hunter Henry,2555341,TE,NE,@NYJ,,,,,,3,49,1,,,,,20.50,,3,3,3,3,100,2,1,,8,12.40
AJ Barner,2572513,TE,SEA,@CAR,,,,,,3,43,1,,,,,11.80,,3,3,3,3,100,1,,,9,11.80
Juwan Johnson,2564676,TE,NO,@TEN,,,,,,4,95,,,,,,13.50,,4,4,4,4,100,,,,10,11.50
Mo Alie-Cox,2558832,TE,IND,JAX,,,,,,3,20,1,,,,,19.90,,3,3,3,3,100,1,,1,11,11.00
Oronde Gadsden II,2574511,TE,LAC,HOU,,,,,,3,32,1,,,,,13.60,,3,3,3,6,50,3,,1,12,10.70
Harold Fannin Jr.,2574043,TE,CLE,PIT,,,,,,2,30,1,,,,,16.00,,2,2,2,2,100,,,,13,10.00
Dallas Goedert,2560995,TE,PHI,@BUF,,,,,,3,8,1,,,,,9.70,,3,3,3,6,50,3,1,1,14,8.30
Cade Otton,2568312,TE,TB,@MIA,,,,,,4,33,,,,,,8.30,,4,4,4,4,100,,,,15,8.30
Colby Parkinson,2565180,TE,LAR,@ATL,,,,,,6,53,,,,,,20.70,,6,6,6,7,86,,,,16,8.30
Austin Hooper,2555415,TE,NE,@NYJ,,,,,,2,11,1,,,,,20.50,,2,2,2,2,100,1,,1,17,8.10
Pat Freiermuth,2566442,TE,PIT,@CLE,,,,,,3,63,,,,,,19.10,,3,3,3,5,60,,,,18,7.80
Jake Ferguson,2567496,TE,DAL,@WAS,,,,,,1,6,1,,,,,13.80,,1,1,1,2,50,2,,2,19,7.10
Brenton Strange,2569912,TE,JAX,@IND,,,,,,3,54,,,,,,7.50,,3,3,3,5,60,,,,20,6.90
Tyler Warren,2574204,TE,IND,JAX,,,,,,5,43,,,,,,19.90,,5,5,5,5,100,,,,21,6.80
Jonnu Smith,2558207,TE,PIT,@CLE,,,,9,,5,18,,,,,,19.10,2,5,7,5,5,100,,,,22,6.20
Travis Kelce,2540258,TE,KC,DEN,,,,,,5,36,,,,,,6.80,,5,5,5,6,83,,,,23,6.10
Mike Gesicki,2560994,TE,CIN,ARI,,,,,,2,47,,,,,,11.10,,2,2,2,2,100,,,,24,5.70
Dawson Knox,2562681,TE,BUF,PHI,,,,,,5,30,,,,,,7.60,,5,5,5,5,100,,,,25,5.50
Mark Andrews,2560957,TE,BAL,@GB,,,,,,4,28,,,,,,9.00,,4,4,4,4,100,,,,26,4.80
Ben Sinnott,2572585,TE,WAS,DAL,,,,,,3,29,,,,,,4.40,,3,3,3,4,75,,,,27,4.40
Isaiah Likely,2567283,TE,BAL,@GB,,,,,,3,27,,,,,,9.00,,3,3,3,3,100,,,,28,4.20
Brevyn Spann-Ford,2573064,TE,DAL,@WAS,,,,,,1,31,,,,,,13.80,,1,1,1,2,50,,,,29,4.20
Evan Engram,2557858,TE,DEN,@KC,,,,,,4,21,,,,,,7.50,,4,4,4,4,100,,,,30,4.10
Tanner Hudson,2561215,TE,CIN,ARI,,,,,,2,31,,,,,,11.10,,2,2,2,2,100,,,,31,4.10
David Martin-Robinson,2573467,TE,TEN,NO,,,,,,1,9,,,,,,17.10,,1,1,1,1,100,,,,32,3.50
Adam Trautman,2564703,TE,DEN,@KC,,,,,,2,24,,,,,,7.50,,2,2,2,2,100,,,,33,3.40
Will Dissly,2561046,TE,LAC,HOU,,,,,,2,19,,,,,,13.60,,2,2,2,2,100,,,,34,2.90
Stone Smartt,2569227,TE,NYJ,NE,,,,,,2,18,,,,,,4.40,,2,2,2,3,67,,,,35,2.80
Connor Heyward,2568138,TE,PIT,@CLE,,,,26,,,,,,,,,19.10,2,,2,,,,,,,36,2.60
Cole Kmet,2563704,TE,CHI,@SF,,,,,,2,16,,,,,,22.60,,2,2,2,3,67,,,,37,2.60
Kyle Pitts,2565830,TE,ATL,LAR,,,,,,2,16,,,,,,4.70,,2,2,2,3,67,,,,38,2.60
Luke Schoonmaker,2569690,TE,DAL,@WAS,,,,,,2,15,,,,,,13.80,,2,2,2,2,100,,,,39,2.50
Darnell Washington,2570257,TE,PIT,@CLE,,,,,,2,15,,,,,,19.10,,2,2,2,2,100,,,,40,2.50
Brenden Bates,2572953,TE,CLE,PIT,,,,,,1,19,,,,,,16.00,,1,1,1,1,100,,,,41,2.40
Daniel Bellinger,2567985,TE,NYG,@LV,,,,,,2,11,,,,,,2.10,,2,2,2,3,67,,,,42,2.10
Sal Cannella,2567197,TE,CLE,PIT,,,,,,2,11,,,,,,16.00,,2,2,2,4,50,,,,43,2.10
Julian Hill,2571129,TE,MIA,TB,,,,,,1,16,,,,,,16.20,,1,1,1,2,50,,,,44,2.10
Will Mallory,2569849,TE,IND,JAX,,,,,,1,16,,,,,,19.90,,1,1,1,1,100,,,,45,2.10
Moliki Matavao,2574401,TE,NO,@TEN,,,,,,2,10,,,,,,13.50,,2,2,2,2,100,,,,46,2.00
Durham Smythe,2560880,TE,CHI,@SF,,,,,,1,11,,,,,,22.60,,1,1,1,1,100,,,,47,1.60
Reggie Gilliam,2565378,TE,BUF,PHI,,,,,,,,,,,,,7.60,,,,,,,,,,48,1.50
Elijah Higgins,2570068,TE,ARI,@CIN,,,,,,,,,,,,,21.30,,,,,1,,,,,49,1.50
Teagan Quitoriano,2567691,TE,ATL,LAR,,,,,,,,,,,,,4.70,,,,,,,,,,50,1.50
Blake Whiteheart,2571077,TE,CLE,PIT,,,,,,,,,,,,,16.00,,,,,1,,,,,51,1.50
Dalton Schultz,2560866,TE,HOU,@LAC,,,,,,3,19,,,,,1,1.40,,3,3,3,4,75,,,,52,1.40
Josh Oliver,2562693,TE,MIN,DET,,,,,,1,8,,,,,,2.10,,1,1,1,2,50,,,,53,1.30
Drew Sample,2562720,TE,CIN,ARI,,,,,,1,8,,,,,,11.10,,1,1,1,1,100,,,,54,1.30
Josh Whyle,2569810,TE,GB,BAL,,,,,,1,8,,,,,,1.30,,1,1,1,1,100,,,,55,1.30
Josiah Deguara,2563980,TE,ARI,@CIN,,,,,,,,,,,,,21.30,,,,,,,,,,56,1.20
Mitchell Evans,2573978,TE,CAR,SEA,,,,1,,1,5,,,,,,2.20,1,1,2,1,2,50,,,,57,1.10
Tommy Tremble,2565914,TE,CAR,SEA,,,,,,1,6,,,,,,2.20,,1,1,1,1,100,,,,58,1.10
Jelani Woods,2567724,TE,NYJ,NE,,,,,,1,4,,,,,,4.40,,1,1,1,1,100,,,,59,0.90
Grant Calcaterra,2568063,TE,PHI,@BUF,,,,,,1,3,,,,,,9.70,,1,1,1,1,100,,,,60,0.80
Ben Sims,2571198,TE,MIN,DET,,,,,,1,3,,,,,,2.10,,1,1,1,1,100,,,,61,0.80
Noah Gray,2566178,TE,KC,DEN,,,,,,1,2,,,,,,6.80,,1,1,1,1,100,,,,62,0.70
Jeremy Ruckert,2568042,TE,NYJ,NE,,,,,,1,2,,,,,,4.40,,1,1,1,3,33,,,,63,0.70
Kylen Granson,2566145,TE,PHI,@BUF,,,,,,,,,,,,,9.70,,,,,,,,,,64,0.60
Gunnar Helm,2574152,TE,TEN,NO,,,,,,1,1,,,,,,17.10,,1,1,1,2,50,,,,65,0.60
Keleki Latu,2573965,TE,BUF,PHI,,,,,,,,,,,,,7.60,,,,,,,,,,66,0.60
Quintin Morris,2566641,TE,JAX,@IND,,,,,,,,,,,,,7.50,,,,,,,,,,67,0.60
Brayden Willis,2570293,TE,SF,CHI,,,,,,,,,,,,,16.10,,,,,,,,,,68,0.60
Charlie Woerner,2565129,TE,ATL,LAR,,,,,,,,,,,,,4.70,,,,,,,,,,69,0.60
Darren Waller,2552408,TE,MIA,TB,,,,,,1,,,,,,,16.20,,1,1,1,3,33,,,,70,0.50
Nate Adkins,2570930,TE,DEN,@KC,,,,,,,,,,,,,7.50,,,,,,,,,,71,0.00
Erick All,2571916,TE,CIN,ARI,,,,,,,,,,,,,11.10,,,,,,,,,,72,0.00
Davis Allen,2570017,TE,LAR,@ATL,,,,,,,,,,,,,20.70,,,,,,,,,,73,0.00
Elijah Arroyo,2574554,TE,SEA,@CAR,,,,,,,,,,,,,11.80,,,,,,,,,,74,0.00
Gavin Bartholomew,2574337,TE,MIN,DET,,,,,,,,,,,,,2.10,,,,,,,,,,75,0.00
John Bates,2566580,TE,WAS,DAL,,,,,,,,,,,,,4.40,,,,,,,,,,76,0.00
Jaheim Bell,2572288,TE,PIT,@CLE,,,,,,,,,,,,,19.10,,,,,,,,,,77,0.00
Brock Bowers,2572219,TE,LV,NYG,,,,,,,,,,,,,13.40,,,,,,,,,,78,0.00
Shawn Bowman,2573689,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,79,0.00
Jake Briningstool,2574240,TE,KC,DEN,,,,,,,,,,,,,6.80,,,,,,,,,,80,0.00
Pharaoh Brown,2559018,TE,ARI,@CIN,,,,,,,,,,,,,21.30,,,,,,,,,,81,0.00
Harrison Bryant,2563767,TE,HOU,@LAC,,,,,,,,,,,,,1.40,,,,,,,,,,82,0.00
Lawrence Cager,2565492,TE,WAS,DAL,,,,,,,,,,,,,4.40,,,,,,,,,,83,0.00
Oscar Cardenas,2574479,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,84,0.00
Stephen Carlson,2563044,TE,CHI,@SF,,,,,,,,,,,,,22.60,,,,,,,,,,85,0.00
McCallan Castles,2572732,TE,GB,BAL,,,,,,,,,,,,,1.30,,,,,,,,,,86,0.00
Tyler Conklin,2561027,TE,LAC,HOU,,,,,,,,,,,,,13.60,,,,,,,,,,87,0.00
Tanner Conner,2569017,TE,NYG,@LV,,,,,,,,,,,,,2.10,,,,,,,,,,88,0.00
Pat Conroy,2574289,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,89,0.00
Jalin Conyers,2574320,TE,MIA,TB,,,,,,,,,,,,,16.20,,,,,,,,,,90,0.00
John Copenhaver,2574212,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,91,0.00
Devin Culp,2572543,TE,TB,@MIA,,,,,,,,,,,,,8.30,,,,,,,,,,92,0.00
Baylor Cupp,2572820,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,93,0.00
Drake Dabney,2574146,TE,GB,BAL,,,,,,,,,,,,,1.30,,,,,,,,,,94,0.00
Dominique Dafney,2565540,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,95,0.00
Zach Davidson,2566301,TE,NYG,@LV,,,,,,,,,,,,,2.10,,,,,,,,,,96,0.00
Tyler Davis,2564178,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,97,0.00
Luke Deal,2574107,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,98,0.00
CJ Dippre,2574372,TE,NE,@NYJ,,,,,,,,,,,,,20.50,,,,,,,,,,99,0.00
Payne Durham,2570353,TE,TB,@MIA,,,,,,,,,,,,,8.30,,,,,,,,,,100,0.00
Ross Dwelley,2561060,TE,CAR,SEA,,,,,,,,,,,,,2.20,,,,,,,,,,101,0.00
Zach Ertz,2540158,TE,WAS,DAL,,,,,,,,,,,,,4.40,,,,,,,,,,102,0.00
Gerald Everett,2557889,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,103,0.00
Rivaldo Fairweather,2574074,TE,ARI,@CIN,,,,,,,,,,,,,21.30,,,,,,,,,,104,0.00
Noah Fant,2562383,TE,CIN,ARI,,,,,,,,,,,,,11.10,,,,,1,,,,,105,0.00
Princeton Fant,2570891,TE,DAL,@WAS,,,,,,,,,,,,,13.80,,,,,,,,,,106,0.00
Luke Farrell,2566160,TE,SF,CHI,,,,,,,,,,,,,16.10,,,,,,,,,,107,0.00
Thomas Fidone II,2574421,TE,NYG,@LV,,,,,,,,,,,,,2.10,,,,,,,,,,108,0.00
Anthony Firkser,2558942,TE,DET,@MIN,,,,,,,,,,,,,0.00,,,,,1,,,,,109,0.00
Tucker Fisk,2569324,TE,LAC,HOU,,,,,,,,,,,,,13.60,,,,,,,,,,110,0.00
John FitzPatrick,2567241,TE,GB,BAL,,,,,,,,,,,,,1.30,,,,,,,,,,111,0.00
Kevin Foelsch,2573861,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,112,0.00
Cole Fotheringham,2568972,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,113,0.00
Feleipe Franks,2566683,TE,ATL,LAR,,,,,,,,,,,,,4.70,,,,,,,,,,114,0.00
JJ Galbreath,2574492,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,115,0.00
