PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Baylor Cupp,2572820,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,89,0.00
Drake Dabney,2574146,TE,GB,@DEN,,,,,,,,,,,,,10.50,,,,,,,,,,90,0.00
Dominique Dafney,2565540,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,91,0.00
Zach Davidson,2566301,TE,NYG,WAS,,,,,,,,,,,,,13.70,,,,,,,,,,92,0.00
Tyler Davis,2564178,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,93,0.00
Luke Deal,2574107,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,94,0.00
Josiah Deguara,2563980,TE,ARI,@HOU,,,,,,,,,,,,,33.30,,,,,,,,,,95,0.00
CJ Dippre,2574372,TE,NE,BUF,,,,,,,,,,,,,2.30,,,,,,,,,,96,0.00
Will Dissly,2561046,TE,LAC,@KC,,,,,,,,,,,,,8.10,,,,,,,,,,97,0.00
Payne Durham,2570353,TE,TB,ATL,,,,,,,,,,,,,7.10,,,,,,,,,,98,0.00
Ross Dwelley,2561060,TE,CAR,@NO,,,,,,,,,,,,,3.80,,,,,,,,,,99,0.00
Zach Ertz,2540158,TE,WAS,@NYG,,,,,,,,,,,,,7.10,,,,,,,,,,100,0.00
Mitchell Evans,2573978,TE,CAR,@NO,,,,,,,,,,,,,3.80,,,,,,,,,,101,0.00
Gerald Everett,2557889,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,102,0.00
Rivaldo Fairweather,2574074,TE,ARI,@HOU,,,,,,,,,,,,,33.30,,,,,,,,,,103,0.00
Noah Fant,2562383,TE,CIN,BAL,,,,,,,,,,,,,6.90,,,,,,,,,,104,0.00
Princeton Fant,2570891,TE,DAL,MIN,,,,,,,,,,,,,8.10,,,,,,,,,,105,0.00
Luke Farrell,2566160,TE,SF,TEN,,,,,,,,,,,,,18.80,,,,,,,,,,106,0.00
Thomas Fidone II,2574421,TE,NYG,WAS,,,,,,,,,,,,,13.70,,,,,,,,,,107,0.00
Anthony Firkser,2558942,TE,DET,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,108,0.00
Tucker Fisk,2569324,TE,LAC,@KC,,,,,,,,,,,,,8.10,,,,,,,,,,109,0.00
Kevin Foelsch,2573861,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,110,0.00
Cole Fotheringham,2568972,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,111,0.00
Feleipe Franks,2566683,TE,ATL,@TB,,,,,,,,,,,,,43.80,,,,,,,,,,112,0.00
JJ Galbreath,2574492,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,113,0.00
