PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Derrick Henry,2556075,RB,BAL,@GB,,,,216,4,,,,,,,,53.70,36,,36,,,,,10,3,1,45.60
Bijan Robinson,2569558,RB,ATL,LAR,,,,195,1,5,34,1,,,,,39.70,22,5,27,5,8,63,1,2,3,2,37.40
Chase Brown,2569642,RB,CIN,ARI,,,,101,2,3,40,,,,,,38.40,22,3,25,3,3,100,,5,1,3,27.60
Christian McCaffrey,2557997,RB,SF,CHI,,,,140,1,4,41,,,,,,37.80,23,4,27,4,6,67,,4,2,4,26.10
Zach Charbonnet,2570335,RB,SEA,@CAR,,,,110,2,2,12,,,,,,30.90,18,2,20,2,2,100,,4,4,5,25.20
Rhamondre Stevenson,2566343,RB,NE,@NYJ,,,,47,1,5,55,1,,,,,33.40,8,5,13,5,5,100,,1,,6,24.70
Jacory Croskey-Merritt,2574608,RB,WAS,DAL,,,,105,2,,,,,,,,25.00,11,,11,,,,1,4,4,7,22.50
D'Andre Swift,2563965,RB,CHI,@SF,,,,54,2,2,25,,,,,,28.30,9,2,11,2,3,67,,,,8,20.90
Breece Hall,2568030,RB,NYJ,NE,,,,111,1,2,18,,,,,,27.50,14,2,16,2,3,67,1,1,,9,19.90
Audric Estimé,2571994,RB,NO,@TEN,,,,94,1,1,4,,,,,,16.60,14,1,15,1,1,100,,,,10,16.30
RJ Harvey,2574090,RB,DEN,@KC,,,,43,,5,33,1,,,,,22.50,14,5,19,5,6,83,1,2,2,11,16.10
Omarion Hampton,2574514,RB,LAC,HOU,,,,29,1,8,31,,,,,,17.60,14,8,22,8,8,100,1,3,1,12,16.00
Jonathan Taylor,2564148,RB,IND,JAX,,,,70,1,3,14,,,,,,16.80,21,3,24,3,6,50,,6,3,13,15.90
Devin Singletary,2562734,RB,NYG,@LV,,,,45,1,4,25,,,,,,21.20,8,4,12,4,4,100,,1,1,14,15.00
Kyren Williams,2567862,RB,LAR,@ATL,,,,92,,3,38,,,,,,16.80,13,3,16,3,3,100,,,,15,14.50
Aaron Jones,2558116,RB,MIN,DET,,,,53,1,3,10,,,,,,21.60,18,3,21,3,4,75,,3,1,16,13.80
De'Von Achane,2570062,RB,MIA,TB,,,,83,,3,29,,,,,,19.80,18,3,21,3,3,100,,,,17,12.70
Javonte Williams,2566049,RB,DAL,@WAS,,,,54,1,,,,,,,,26.60,13,,13,,2,,,3,1,18,11.40
Tony Pollard,2562699,RB,TEN,NO,,,,85,,2,10,,,,,,13.60,18,2,20,2,2,100,,,,19,10.50
Malik Davis,2568672,RB,DAL,@WAS,,,,103,,,,,,,,,26.60,20,,20,,2,,,,,20,10.30
Travis Etienne,2566157,RB,JAX,@IND,,,,76,,2,16,,,,,,14.10,17,2,19,2,3,67,,,,21,10.20
Ashton Jeanty,2574298,RB,LV,NYG,,,,60,,2,13,,,,,,10.00,16,2,18,2,2,100,,,,22,9.80
Kyle Juszczyk,2540230,RB,SF,CHI,,,,,,2,14,1,,,,,37.80,,2,2,2,2,100,1,,1,23,8.40
James Cook,2567328,RB,BUF,PHI,,,,74,,1,3,,,,,,16.60,20,1,21,1,4,25,,,,24,8.20
TreVeyon Henderson,2574374,RB,NE,@NYJ,,,,82,,,,,,,,,33.40,19,,19,,,,,,,25,8.20
Woody Marks,2574174,RB,HOU,@LAC,,,,71,,1,4,,,,,,11.70,19,1,20,1,2,50,,,,26,8.00
Brashard Smith,2574256,RB,KC,DEN,,,,,,3,5,1,,,,,15.00,,3,3,3,4,75,1,,1,27,8.00
Rico Dowdle,2565295,RB,CAR,SEA,,,,59,,3,4,,,,,,9.10,12,3,15,3,5,60,,,,28,7.80
Samaje Perine,2558138,RB,CIN,ARI,,,,5,1,1,8,,,,,,38.40,3,1,4,1,1,100,,2,,29,7.80
Saquon Barkley,2560968,RB,PHI,@BUF,,,,68,,,,,,,,,12.00,19,,19,,,,,,,30,6.80
Ty Johnson,2562293,RB,BUF,PHI,,,,15,,3,33,,,,,,16.60,5,3,8,3,4,75,,,,31,6.30
Kyle Monangai,2574015,RB,CHI,@SF,,,,38,,3,9,,,,,,28.30,8,3,11,3,4,75,,,,32,6.20
Tyrone Tracy Jr.,2572351,RB,NYG,@LV,,,,62,,1,-5,,,,,,21.20,14,1,15,1,2,50,,,,33,6.20
Bucky Irving,2572546,RB,TB,@MIA,,,,19,,5,14,,,,,,9.30,9,5,14,5,6,83,,,,34,5.80
Kenneth Walker III,2568282,RB,SEA,@CAR,,,,51,,2,6,,,,,1,30.90,15,2,17,2,2,100,,,,35,5.70
Jaylen Wright,2572261,RB,MIA,TB,,,,56,,,,,,,,,19.80,5,,5,,,,,,,36,5.60
Jahmyr Gibbs,2569747,RB,DET,@MIN,,,,41,,2,23,,,,,1,11.90,17,2,19,2,3,67,,,,37,5.40
Michael Carter,2566382,RB,ARI,@CIN,,,,29,,2,14,,,,,,10.60,7,2,9,2,4,50,,,,38,5.30
Kenneth Gainwell,2566397,RB,PIT,@CLE,,,,26,,3,12,,,,,,9.70,7,3,10,3,4,75,,,,39,5.30
Emari Demercado,2571065,RB,ARI,@CIN,,,,11,,2,9,,,,,,10.60,5,2,7,2,3,67,,,,40,5.10
David Montgomery,2562502,RB,DET,@MIN,,,,25,,2,15,,,,,,11.90,10,2,12,2,2,100,,,,41,5.00
Hunter Luepke,2570882,RB,DAL,@WAS,,,,30,,1,14,,,,,,26.60,7,1,8,1,1,100,,,,42,4.90
Keaton Mitchell,2570428,RB,BAL,@GB,,,,31,,2,7,,,,,,53.70,9,2,11,2,2,100,,,,43,4.80
Jaylen Warren,2568493,RB,PIT,@CLE,,,,64,,,,,,,,1,9.70,12,,12,,,,,,,44,4.40
Dylan Sampson,2574062,RB,CLE,PIT,,,,27,,3,,,,,,,8.80,11,3,14,3,3,100,,,,45,4.20
Isaiah Davis,2572360,RB,NYJ,NE,,,,11,,1,9,,,,,,27.50,3,1,4,1,1,100,,,,46,4.00
Jaleel McLaughlin,2570942,RB,DEN,@KC,,,,40,,,,,,,,,22.50,7,,7,,,,,,,47,4.00
Kareem Hunt,2557917,RB,KC,DEN,,,,38,,,,,,,,,15.00,7,,7,,,,,,,48,3.80
Will Shipley,2572390,RB,PHI,@BUF,,,,2,,,,,,,,,12.00,2,,2,,,,,,,49,3.80
Jawhar Jordan,2572099,RB,HOU,@LAC,,,,36,,,,,,,,,11.70,8,,8,,,,,,,50,3.60
Raheim Sanders,2574529,RB,CLE,PIT,,,,21,,1,10,,,,,,8.80,8,1,9,1,2,50,,,,51,3.60
Rasheen Ali,2571823,RB,BAL,@GB,,,,,,2,8,,,,,,53.70,,2,2,2,3,67,,,,52,3.30
Brian Robinson,2568348,RB,SF,CHI,,,,22,,1,6,,,,,,37.80,4,1,5,1,1,100,,,,53,3.30
Isiah Pacheco,2567808,RB,KC,DEN,,,,32,,,,,,,,,15.00,9,,9,,,,,,,54,3.20
Chris Brooks,2571114,RB,GB,BAL,,,,,,1,11,,,,,,6.80,,1,1,1,2,50,,,,55,3.10
Kene Nwangwu,2566313,RB,NYJ,NE,,,,31,,,,,,,,,27.50,6,,6,,,,,,,56,3.10
Tahj Brooks,2574024,RB,CIN,ARI,,,,10,,1,9,,,,,,38.40,3,1,4,1,1,100,,,,57,3.00
Ty Chandler,2567907,RB,MIN,DET,,,,24,,,,,,,,,21.60,7,,7,,,,,,,58,3.00
Emanuel Wilson,2570912,RB,GB,BAL,,,,16,,1,8,,,,,,6.80,3,1,4,1,1,100,,,,59,2.90
C.J. Ham,2556803,RB,MIN,DET,,,,,,,,,,,,,21.60,,,,,,,,,,60,2.70
Rachaad White,2568315,RB,TB,@MIA,,,,10,,2,7,,,,,,9.30,2,2,4,2,2,100,,,,61,2.70
Jeremy McNichols,2557977,RB,WAS,DAL,,,,-2,,3,12,,,,,,25.00,1,3,4,3,3,100,,,,62,2.50
Tyler Allgeier,2567232,RB,ATL,LAR,,,,23,,,,,,,,,39.70,10,,10,,,,,,,63,2.30
DeeJay Dallas,2565144,RB,JAX,@IND,,,,21,,,,,,,,,14.10,2,,2,,1,,,,,64,2.10
Ray Davis,2571862,RB,BUF,PHI,,,,4,,1,12,,,,,,16.60,1,1,2,1,1,100,,,,65,2.10
Zavier Scott,2570563,RB,MIN,DET,,,,,,,,,,,,,21.60,,,,,,,,,,66,2.10
Kalel Mullings,2574156,RB,TEN,NO,,,,4,,,,,,,,,13.60,1,,1,,,,,,,67,1.90
LeQuint Allen Jr.,2574207,RB,JAX,@IND,,,,3,,,,,,,,,14.10,1,,1,,,,,,,68,1.80
Blake Corum,2572189,RB,LAR,@ATL,,,,18,,,,,,,,,16.80,6,,6,,,,,,,69,1.80
Adam Prentice,2566872,RB,DEN,@KC,,,,3,,,,,,,,,22.50,2,,2,,,,,,,70,1.80
Ollie Gordon II,2574322,RB,MIA,TB,,,,,,,,,,,,,19.80,,,,,,,,,,71,1.50
Hassan Haskins,2567649,RB,LAC,HOU,,,,,,,,,,,,,17.60,,,,,,,,,,72,1.50
Sione Vaki,2572021,RB,DET,@MIN,,,,,,,,,,,,,11.90,,,,,,,,,,73,1.50
Tank Bigsby,2569882,RB,PHI,@BUF,,,,7,,1,2,,,,,,12.00,2,1,3,1,1,100,,,,74,1.40
Chuba Hubbard,2565899,RB,CAR,SEA,,,,12,,3,6,,,,,1,9.10,4,3,7,3,3,100,,,,75,1.30
Travis Homer,2562665,RB,CHI,@SF,,,,,,,,,,,,,28.30,,,,,,,,,,76,1.20
Trayveon Williams,2562600,RB,CLE,PIT,,,,10,,,,,,,,,8.80,2,,2,,,,,,,77,1.00
Ameer Abdullah,2552374,RB,IND,JAX,,,,,,1,4,,,,,,16.80,,1,1,1,1,100,,,,78,0.90
