PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Kaleb Johnson,2574496,RB,PIT,BAL,,,,,,,,,,,,,0.00,,,,,,,,,,112,0.00
Montrell Johnson Jr.,2574462,RB,CAR,@TB,,,,,,,,,,,,,0.00,,,,,,,,,,113,0.00
Roschon Johnson,2569615,RB,CHI,DET,,,,,,,,,,,,,0.00,,,,,,,,,,114,0.00
Ty Johnson,2562293,RB,BUF,NYJ,,,,36,1,2,20,1,,,,,0.00,13,2,15,2,2,100,1,6,5,115,0.00
Aaron Jones,2558116,RB,MIN,GB,,,,,,,,,,,,,0.00,,,,,,,,,,116,0.00
Velus Jones Jr.,2567409,RB,SEA,@SF,,,,,,,,,,,,,0.00,,,,,,,,,,117,0.00
Jawhar Jordan,2572099,RB,HOU,IND,,,,3,,,,,,,,,0.00,5,,5,,,,,,,118,0.00
Quinshon Judkins,2574053,RB,CLE,@CIN,,,,,,,,,,,,,0.00,,,,,,,,,,119,0.00
Kyle Juszczyk,2540230,RB,SF,SEA,,,,,,1,5,,,,,,0.00,,1,1,1,2,50,,,,120,0.00
Alvin Kamara,2558019,RB,NO,@ATL,,,,,,,,,,,,,0.00,,,,,,,,,,121,0.00
D.K. Kaufman,2574646,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,122,0.00
John Kelly,2560777,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,123,0.00
Corey Kiner,2574541,RB,ARI,@LAR,,,,13,,2,15,,,,,,0.00,3,2,5,2,3,67,,,,124,0.00
Bam Knight,2568036,RB,ARI,@LAR,,,,,,,,,,,,,0.00,,,,,,,,,,125,0.00
Brock Lampe,2574375,RB,NE,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,126,0.00
Lan Larison,2574376,RB,NE,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,127,0.00
Dylan Laube,2572231,RB,LV,KC,,,,,,,,,,,,1,0.00,,,,,,,,,,128,0.00
MarShawn Lloyd,2572042,RB,GB,@MIN,,,,,,,,,,,,,0.00,,,,,,,,,,129,0.00
Hunter Luepke,2570882,RB,DAL,@NYG,,,,12,,1,4,,,,,,0.00,2,1,3,1,1,100,,,,130,0.00
Kayron Lynch-Adams,2573990,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,131,0.00
Phil Mafah,2574079,RB,DAL,@NYG,,,,18,1,2,11,,,,,,0.00,5,2,7,2,2,100,,,,132,0.00
Marcus Major,2573942,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,133,0.00
Woody Marks,2574174,RB,HOU,IND,,,,48,,2,,,,,,,0.00,10,2,12,2,3,67,,,,134,0.00
Ahmani Marshall,2574055,RB,CLE,@CIN,,,,,,,,,,,,,0.00,,,,,,,,,,135,0.00
Damien Martinez,2574568,RB,GB,@MIN,,,,,,,,,,,,,0.00,,,,,,,,,,136,0.00
Jordan Mason,2569257,RB,MIN,GB,,,,94,,,,,,,,,0.00,14,,14,,,,,,,137,0.00
Alexander Mattison,2562682,RB,MIA,@NE,,,,,,,,,,,,,0.00,,,,,,,,,,138,0.00
Christian McCaffrey,2557997,RB,SF,SEA,,,,23,,6,34,,,,,,0.00,8,6,14,6,7,86,,,,139,0.00
Jase McClellan,2571808,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,140,0.00
Sincere McCormick,2568984,RB,MIN,GB,,,,,,,,,,,,,0.00,,,,,,,,,,141,0.00
Kenny McIntosh,2570314,RB,SEA,@SF,,,,,,,,,,,,,0.00,,,,,,,,,,142,0.00
Jaleel McLaughlin,2570942,RB,DEN,LAC,,,,41,,1,17,,,,,,0.00,6,1,7,1,2,50,,,,143,0.00
Jeremy McNichols,2557977,RB,WAS,@PHI,,,,3,,1,8,,,,,,0.00,1,1,2,1,1,100,,,,144,0.00
Dante Miller,2572336,RB,NYG,DAL,,,,,,,,,,,,,0.00,,,,,,,,,,145,0.00
Kendre Miller,2570149,RB,NO,@ATL,,,,,,,,,,,,,0.00,,,,,,,,,,146,0.00
Kendall Milton,2572741,RB,CIN,CLE,,,,,,,,,,,,,0.00,,,,,,,,,,147,0.00
Jordan Mims,2570768,RB,TEN,@JAX,,,,,,,,,,,,,0.00,,,,,,,,,,148,0.00
Elijah Mitchell,2566538,RB,NE,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,149,0.00
Keaton Mitchell,2570428,RB,BAL,@PIT,,,,2,,,,,,,,,0.00,2,,2,,,,,,,150,0.00
Joe Mixon,2557976,RB,HOU,IND,,,,,,,,,,,,,0.00,,,,,,,,,,151,0.00
Kyle Monangai,2574015,RB,CHI,DET,,,,14,,1,15,,,,1,,0.00,6,1,7,1,1,100,,,,152,0.00
David Montgomery,2562502,RB,DET,@CHI,,,,42,,1,13,,,,,,0.00,8,1,9,1,1,100,,,,153,0.00
Zack Moss,2563617,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,154,0.00
Raheem Mostert,2553728,RB,LV,KC,,,,,,,,,,,,,0.00,,,,,,,,,,155,0.00
Kalel Mullings,2574156,RB,TEN,@JAX,,,,,,,,,,,,,0.00,,,,,,,,,,156,0.00
Devin Neal,2574402,RB,NO,@ATL,,,,,,,,,,,,,0.00,,,,,,,,,,157,0.00
Lew Nichols III,2569771,RB,PIT,BAL,,,,,,,,,,,,,0.00,,,,,,,,,,158,0.00
Nate Noel,2574328,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,159,0.00
Sone Ntoh,2573945,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,160,0.00
Kene Nwangwu,2566313,RB,NYJ,@BUF,,,,18,,,,,,,,,0.00,7,,7,,1,,,,,161,0.00
Dare Ogunbowale,2559362,RB,HOU,IND,,,,3,,1,6,,,,,,0.00,1,1,2,1,2,50,,,,162,0.00
Robbie Ouzts,2574572,RB,SEA,@SF,,,,,,,,,,,,,0.00,,,,,,,,,,163,0.00
Isiah Pacheco,2567808,RB,KC,@LV,,,,,,,,,,,,,0.00,,,,,,,,,,164,0.00
Jaret Patterson,2567160,RB,LAC,@DEN,,,,29,,3,8,,,,,,0.00,8,3,11,3,4,75,,,,165,0.00
Samaje Perine,2558138,RB,CIN,CLE,,,,42,,3,10,,,,,,0.00,8,3,11,3,4,75,,,,166,0.00
Dameon Pierce,2567685,RB,KC,@LV,,,,10,,,,,,,,,0.00,4,,4,,,,,,,167,0.00
Tony Pollard,2562699,RB,TEN,@JAX,,,,48,,3,17,,,,,,0.00,14,3,17,3,3,100,,,,168,0.00
ShunDerrick Powell,2574471,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,169,0.00
Adam Prentice,2566872,RB,DEN,LAC,,,,,,,,,,,,,0.00,,,,,,,,,,170,0.00
Deneric Prince,2570707,RB,NE,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,171,0.00
Craig Reynolds,2562834,RB,NE,MIA,,,,,,,,,,,,,0.00,,,,,,,,,,172,0.00
Patrick Ricard,2558990,RB,BAL,@PIT,,,,,,1,8,,,,,,0.00,,1,1,1,1,100,,,,173,0.00
Ronnie Rivers,2569185,RB,LAR,ARI,,,,,,,,,,,,,0.00,,,,,,,,,,174,0.00
Kye Robichaux,2574119,RB,DET,@CHI,,,,,,,,,,,,,0.00,,,,,,,,,,175,0.00
Bijan Robinson,2569558,RB,ATL,NO,,,,33,,3,10,,,,,,0.00,15,3,18,3,3,100,,,,176,0.00
Brian Robinson,2568348,RB,SF,SEA,,,,9,,,,,,,,,0.00,2,,2,,,,,,,177,0.00
Keilan Robinson,2572156,RB,NYJ,@BUF,,,,,,,,,,,,,0.00,,,,,,,,,,178,0.00
Chris Rodriguez Jr.,2570386,RB,WAS,@PHI,,,,65,1,1,18,,,,,,0.00,16,1,17,1,1,100,,5,4,179,0.00
