PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
James Cook,2567328,RB,BUF,@NE,,,,107,2,2,4,1,,,,,36.20,22,2,24,2,3,67,1,4,4,1,30.10
Travis Etienne,2566157,RB,JAX,NYJ,,,,32,,3,73,3,,,,,40.90,12,3,15,3,4,75,3,6,3,2,30.00
TreVeyon Henderson,2574374,RB,NE,BUF,,,,148,2,2,13,,,,,,38.30,14,2,16,2,3,67,,2,1,3,29.10
Bijan Robinson,2569558,RB,ATL,@TB,,,,93,1,8,82,,,,,1,27.30,19,8,27,8,11,73,1,,,4,25.50
Tyrone Tracy Jr.,2572351,RB,NYG,WAS,,,,70,1,3,27,1,,,,,25.10,15,3,18,3,4,75,1,1,,5,23.20
Josh Jacobs,2562377,RB,GB,@DEN,,,,73,1,2,19,1,,,,,25.80,12,2,14,2,3,67,2,1,1,6,22.20
D'Andre Swift,2563965,RB,CHI,CLE,,,,98,2,1,-2,,,,,,26.00,18,1,19,1,1,100,,,,7,22.10
Kyren Williams,2567862,RB,LAR,DET,,,,78,2,1,10,,,,,,37.40,15,1,16,1,1,100,,,,8,21.30
Tony Pollard,2562699,RB,TEN,@SF,,,,104,1,1,8,,,,,,23.80,14,1,15,1,2,50,,1,1,9,17.70
Christian McCaffrey,2557997,RB,SF,TEN,,,,73,1,1,14,,,,,,20.00,22,1,23,1,1,100,,9,4,10,16.70
Saquon Barkley,2560968,RB,PHI,LV,,,,78,1,2,14,,,,,,21.90,22,2,24,2,3,67,,9,2,11,16.20
Kenneth Gainwell,2566397,RB,PIT,MIA,,,,80,,7,46,,,,,,22.80,13,7,20,7,7,100,,,,12,16.10
De'Von Achane,2570062,RB,MIA,@PIT,,,,60,,6,67,,,,,,18.20,12,6,18,6,6,100,,,,13,15.70
Javonte Williams,2566049,RB,DAL,MIN,,,,91,1,,,,,,,,29.80,15,,15,,,,,3,,14,15.10
Blake Corum,2572189,RB,LAR,DET,,,,71,1,,,,,,,,37.40,11,,11,,,,,1,1,15,14.60
Chase Brown,2569642,RB,CIN,BAL,,,,53,,7,37,,,,,,16.80,13,7,20,7,7,100,,,,16,14.00
Jacory Croskey-Merritt,2574608,RB,WAS,@NYG,,,,96,1,,,,,,,1,15.80,18,,18,,,,,,,17,13.60
Isaiah Davis,2572360,RB,NYJ,@JAX,,,,58,1,1,7,,,,,,20.20,9,1,10,1,1,100,,,,18,13.00
Jawhar Jordan,2572099,RB,HOU,ARI,,,,101,,2,17,,,,,,30.83,15,2,17,2,2,100,,,,19,12.80
Rico Dowdle,2565295,RB,CAR,@NO,,,,49,1,1,5,,,,,,16.20,16,1,17,1,1,100,,1,,20,11.90
Jonathan Taylor,2564148,RB,IND,@SEA,,,,87,,3,14,,,,,,23.30,25,3,28,3,4,75,,,,21,11.60
