PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Brock Purdy,2568216,QB,SF,CHI,303,3,1,28,2,,,,,,,,36.92,6,,6,,,,,,,1,36.92
Drake Maye,2572294,QB,NE,@NYJ,256,5,,22,,,,,,,,,33.54,3,,3,,,,,,,2,32.44
Malik Willis,2567667,QB,GB,BAL,288,1,,60,2,,,,,,,1,29.71,9,,9,,,,,1,1,3,31.39
Jaxson Dart,2574419,QB,NYG,@LV,207,,,48,2,,,,,,,,25.08,9,,9,,,,,,,4,25.08
Trevor Lawrence,2566163,QB,JAX,@IND,263,,1,26,2,,,,,,,,23.12,8,,8,,,,,,,5,23.12
Caleb Williams,2571913,QB,CHI,@SF,330,2,,18,,,,,,,,,23.00,5,,5,,,,,,,6,23.00
Dak Prescott,2555260,QB,DAL,@WAS,307,2,,24,,,,,,,,,22.68,4,,4,,,,,,,7,22.68
Josh Allen,2560955,QB,BUF,PHI,262,,,27,2,,,,,,,2,21.98,7,,7,,,,,2,2,8,21.98
Joe Burrow,2563722,QB,CIN,ARI,305,2,,2,,,,,,,,,21.56,3,,3,,,,,,,9,20.40
Tyler Shough,2574406,QB,NO,@TEN,333,2,,6,,,,,,,,1,19.92,4,,4,,,,,,,10,19.92
Bo Nix,2572003,QB,DEN,@KC,182,1,1,42,1,,,,,,,,19.48,9,,9,,,,,3,,11,19.48
Jacoby Brissett,2555261,QB,ARI,@CIN,212,2,,,,,,,,,,,16.48,,,,,,,,,,12,16.48
Baker Mayfield,2560800,QB,TB,@MIA,346,2,2,16,,,,,,,,2,16.44,3,,3,,,,,,,13,16.44
Cam Ward,2574164,QB,TEN,NO,251,2,,10,,,,,,,,2,16.04,2,,2,,,,,,,14,16.04
Tyler Huntley,2563560,QB,BAL,@GB,107,1,,60,,,,,,,,,14.28,8,,8,,,,,,,15,14.28
Matthew Stafford,79860,QB,LAR,@ATL,269,2,3,,,,,,,,,,14.26,,,,,,,,,,16,14.26
C.J. Stroud,2569819,QB,HOU,@LAC,244,2,2,,,,,,,,,,13.76,4,,4,,,,,,,17,13.76
Quinn Ewers,2574321,QB,MIA,TB,172,2,,5,,1,-6,,,,,1,13.28,4,1,5,1,1,100,1,1,1,18,13.28
Justin Herbert,2565045,QB,LAC,HOU,236,1,1,37,,,,,,,,2,13.14,6,,6,,,,,,,19,13.14
Sam Darnold,2561036,QB,SEA,@CAR,147,1,1,2,,,,,,,,2,10.08,3,,3,,,,,,,20,10.08
Shedeur Sanders,2574063,QB,CLE,PIT,186,1,2,20,,,,,,,,,9.44,4,,4,,,,,,,21,9.44
Kirk Cousins,2532820,QB,ATL,LAR,126,1,,1,,,,,,,,,9.14,1,,1,,,,,,,22,9.14
Josh Johnson,264,QB,WAS,DAL,198,,,10,,,,,,,,,8.92,2,,2,,,,,,,23,8.92
Jalen Hurts,2564832,QB,PHI,@BUF,110,1,,5,,,,,,,,,8.90,3,,3,,,,,,,24,8.90
Bryce Young,2569606,QB,CAR,SEA,54,,1,27,1,,,,,,,,8.86,9,,9,,,,,,,25,8.86
Philip Rivers,2506121,QB,IND,JAX,147,1,1,-1,,,,,,,,,5.78,1,,1,,,,,,,26,7.78
Geno Smith,2539335,QB,LV,NYG,176,1,2,1,,,,,,,,,7.78,1,,1,,,,,,,27,7.14
Chris Oladokun,2568153,QB,KC,DEN,66,1,,11,,,,,,,,1,6.74,2,,2,,,,,,,28,6.74
Aaron Rodgers,2506363,QB,PIT,@CLE,168,,,6,,,,,,,,1,5.32,1,,1,,,,,,,29,5.32
Brady Cook,2574435,QB,NYJ,NE,152,,1,1,,,,,,,,,5.18,2,,2,,,,,,,30,5.18
Max Brosmer,2574340,QB,MIN,DET,51,,,16,,,,,,,,1,2.64,2,,2,,,,,,,31,2.64
Jared Goff,2555334,QB,DET,@MIN,197,1,2,2,,,,,,,,3,1.61,3,,3,,,,,,,32,1.61
Joe Flacco,382,QB,CIN,ARI,24,,,2,,,,,,,,,21.56,4,,4,,,,,,,33,1.16
Joshua Dobbs,2558167,QB,NE,@NYJ,30,,,-1,,,,,,,,,33.54,2,,2,,,,,,,34,1.10
Kenny Pickett,2568162,QB,LV,NYG,16,,,,,,,,,,,,7.78,,,,,,,,,,35,0.64
Brandon Allen,2555365,QB,TEN,NO,,,,,,,,,,,,,16.04,,,,,,,,,,36,0.00
Kyle Allen,2561177,QB,DET,@MIN,,,,,,,,,,,,,1.61,,,,,,,,,,37,0.00
Tyson Bagent,2570467,QB,CHI,@SF,,,,,,,,,,,,,23.00,,,,,,,,,,38,0.00
Connor Bazelak,2574581,QB,TB,@MIA,,,,,,,,,,,,,16.44,,,,,,,,,,39,0.00
Jason Bean,2573169,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,40,0.00
Stetson Bennett,2569939,QB,LAR,@ATL,,,,,,,,,,,,,14.26,,,,,,,,,,41,0.00
Tim Boyle,2561187,QB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,42,0.00
Carter Bradley,2573208,QB,JAX,@IND,,,,,,,,,,,,,23.12,,,,,,,,,,43,0.00
Teddy Bridgewater,2543465,QB,TB,@MIA,,,,,,,,,,,,,16.44,,,,,,,,,,44,0.00
