PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Trevor Lawrence,2566163,QB,JAX,@DEN,279,3,,20,1,,,,,,,,31.16,6,,6,,,,,1,1,1,31.16
Matthew Stafford,79860,QB,LAR,@SEA,457,3,,6,,,,,,,,,30.88,2,,2,,,,,1,,2,30.88
Justin Herbert,2565045,QB,LAC,@DAL,300,2,,42,1,,,,,,,1,29.20,8,,8,,,,,,,3,29.20
Joe Burrow,2563722,QB,CIN,@MIA,309,4,,6,,,,,,,,,29.12,2,,2,,,,,,,4,28.96
Brock Purdy,2568216,QB,SF,@IND,295,5,1,11,,,,,,,,1,28.60,2,,2,,,,,,,5,28.90
Jared Goff,2555334,QB,DET,PIT,364,3,,-1,,,,,,,,,26.46,1,,1,,,,,,,6,26.46
Drake Maye,2572294,QB,NE,@BAL,380,2,1,25,,,,,,,1,2,22.47,10,,10,,,,,,,7,22.47
Caleb Williams,2571913,QB,CHI,GB,250,2,,30,,,,,,,,,21.00,3,,3,,,,,,,8,21.00
Sam Darnold,2561036,QB,SEA,LAR,270,2,2,7,,,,,,,2,,19.50,3,,3,,,,,,,9,19.50
Dak Prescott,2555260,QB,DAL,LAC,244,2,,14,,,,,,,,,18.30,2,,2,,,,,,,10,19.16
Jalen Hurts,2564832,QB,PHI,@WAS,185,2,,40,,,,,,,,1,18.20,7,,7,,,,,,,11,18.40
Cam Ward,2574164,QB,TEN,KC,228,2,,9,,,,,,,,,18.02,4,,4,,,,,,,12,18.02
Bryce Young,2569606,QB,CAR,TB,191,2,,20,,,,,,,,,17.64,4,,4,,,,,,,13,17.64
Kirk Cousins,2532820,QB,ATL,@ARI,197,2,1,-3,1,,,,,,,1,17.55,5,,5,,,,,,,14,17.55
Tyler Shough,2574406,QB,NO,NYJ,308,1,,8,,,,,,,,,17.12,2,,2,,,,,,,15,17.12
Aaron Rodgers,2506363,QB,PIT,@DET,266,1,,9,,,,,,,,,15.54,2,,2,,,,,1,,16,15.54
Bo Nix,2572003,QB,DEN,JAX,352,1,1,11,,,,,,,,1,15.18,4,,4,,,,,,,17,15.18
