PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Puka Nacua,2570026,WR,LAR,@SEA,,,,,,12,225,2,,,,,55.10,,12,12,12,16,75,2,1,2,1,40.50
Chris Olave,2567973,WR,NO,NYJ,,,,,,10,148,2,,,,,40.70,,10,10,10,16,63,,,,2,31.80
George Pickens,2568159,WR,DAL,LAC,,,,,,7,130,1,,,,,44.60,,7,7,7,9,78,,,,3,24.00
Parker Washington,2569888,WR,JAX,@DEN,,,,,,6,145,1,,,,,34.50,,6,6,6,10,60,2,,,4,23.50
Alec Pierce,2567715,WR,IND,SF,,,,,,4,86,2,,,,,37.10,,4,4,4,4,100,1,,1,5,22.60
Jaxon Smith-Njigba,2570341,WR,SEA,LAR,,,,,,8,96,1,,,,,37.70,,8,8,8,13,62,3,1,3,6,19.60
DJ Moore,2560813,WR,CHI,GB,,,,12,,5,97,1,,,,,32.80,1,5,6,5,7,71,,,,7,19.40
Quentin Johnston,2570275,WR,LAC,@DAL,,,,,,4,104,1,,,,,46.50,,4,4,4,5,80,,,,8,18.40
Stefon Diggs,2552608,WR,NE,@BAL,,,,,,9,138,,,,,,45.00,,9,9,9,10,90,,,,9,18.30
Zay Flowers,2569573,WR,BAL,NE,,,,18,1,7,84,,,,,1,31.30,1,7,8,7,7,100,,,,10,17.70
Courtland Sutton,2560888,WR,DEN,JAX,,,,,,6,86,1,,,,,40.20,,6,6,6,12,50,3,,2,11,17.60
Romeo Doubs,2567586,WR,GB,@CHI,,,,,,5,84,1,,,,,28.70,,5,5,5,6,83,,,,12,16.90
Tetairoa McMillan,2573992,WR,CAR,TB,,,,,,6,73,1,,,,,27.90,,6,6,6,10,60,,,,13,16.30
Jauan Jennings,2565114,WR,SF,@IND,,,,,,5,71,1,,,,,31.90,,5,5,5,6,83,2,1,1,14,15.60
Ja'Marr Chase,2565941,WR,CIN,@MIA,,,,,,9,109,,,,,,30.90,,9,9,9,11,82,,,,15,15.40
Kalif Raymond,2556661,WR,DET,PIT,,,,,,4,62,1,,,,,44.30,,4,4,4,5,80,,,,16,14.20
A.J. Brown,2562238,WR,PHI,@WAS,,,,,,9,95,,,,,,30.00,,9,9,9,12,75,,,,17,14.00
DeVonta Smith,2566409,WR,PHI,@WAS,,,,,,6,42,1,,,,,30.00,,6,6,6,8,75,2,,1,18,13.20
Isaac TeSlaa,2574120,WR,DET,PIT,,,,,,4,52,1,,,,,44.30,,4,4,4,7,57,,,,19,13.20
