PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Israel Abanikanda,2570188,RB,DAL,LAC,,,,,,,,,,,,,9.50,,,,,,,,,,89,0.00
Salvon Ahmed,2565090,RB,IND,SF,,,,,,,,,,,,,18.20,,,,,,,,,,90,0.00
Cam Akers,2564319,RB,SEA,LAR,,,,,,,,,,,,,42.30,,,,,,,,,,91,0.00
Braelon Allen,2572354,RB,NYJ,@NO,,,,,,,,,,,,,15.30,,,,,,,,,,92,0.00
Emani Bailey,2572805,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,93,0.00
Rushawn Baker,2574413,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,94,0.00
Andrew Beck,2562626,RB,NYJ,@NO,,,,,,,,,,,,,15.30,,,,,,,,,,95,0.00
Trey Benson,2572405,RB,ARI,ATL,,,,,,,,,,,,,12.70,,,,,,,,,,96,0.00
Ulysses Bentley IV,2574183,RB,IND,SF,,,,,,,,,,,,,18.20,,,,,,,,,,97,0.00
Micah Bernard,2574143,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,98,0.00
Raheem Blackshear,2569477,RB,NYJ,@NO,,,,,,,,,,,,,15.30,,,,,,,,,,99,0.00
Jaydon Blue,2574068,RB,DAL,LAC,,,,,,,,,,,,,9.50,,,,,,,,,,100,0.00
Mike Boone,2561099,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,101,0.00
Gary Brightwell,2566364,RB,CIN,@MIA,,,,,,,,,,,,,43.30,,,,,,,,,,102,0.00
Jonathon Brooks,2571883,RB,CAR,TB,,,,,,,,,,,,,10.20,,,,,,,,,,103,0.00
Brittain Brown,2567868,RB,CHI,GB,,,,,,,,,,,,,19.80,,,,,,,,,,104,0.00
Michael Burton,2552636,RB,DEN,JAX,,,,,,,,,,,,,24.50,,,,,,,,,,105,0.00
Nate Carter,2573909,RB,ATL,@ARI,,,,,,,,,,,,,34.10,,,,,,,,,,106,0.00
Ty Chandler,2567907,RB,MIN,@NYG,,,,,,,,,,,,,15.40,,,,,,,,,,107,0.00
Chris Collier,2572600,RB,LV,@HOU,,,,,,,,,,,,,32.70,,,,,,,,,,108,0.00
Quali Conley,2574026,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,109,0.00
James Conner,2557978,RB,ARI,ATL,,,,,,,,,,,,,12.70,,,,,,,,,,110,0.00
Jashaun Corbin,2569125,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,111,0.00
DeeJay Dallas,2565144,RB,JAX,@DEN,,,,,,,,,,,,,15.60,,,,,,,,,,112,0.00
Tyrion Davis-Price,2568207,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,113,0.00
AJ Dillon,2563986,RB,PHI,@WAS,,,,,,,,,,,,,31.20,,,,,,,,,,114,0.00
J.K. Dobbins,2563548,RB,DEN,JAX,,,,,,,,,,,,,24.50,,,,,,,,,,115,0.00
Elijah Dotson,2571536,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,116,0.00
Chase Edmonds,2560711,RB,WAS,PHI,,,,,,,,,,,,,26.10,,,,,,,,,,117,0.00
Donovan Edwards,2574437,RB,MIA,CIN,,,,,,,,,,,,,32.20,,,,,,,,,,118,0.00
Gus Edwards,2561324,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,119,0.00
Clyde Edwards-Helaire,2564271,RB,KC,@TEN,,,,,,,,,,,,,11.60,,,,,,,,,,120,0.00
Austin Ekeler,2559169,RB,WAS,PHI,,,,,,,,,,,,,26.10,,,,,,,,,,121,0.00
Trevor Etienne,2573977,RB,CAR,TB,,,,,,,,,,,,,10.20,,,,,,,,,,122,0.00
Darrynton Evans,2564043,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,123,0.00
Zach Evans,2569963,RB,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,124,0.00
