PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
George Kittle,2558266,TE,SF,@IND,,,,,,7,115,1,,,,,27.30,,7,7,7,8,88,2,,,1,21.00
Harold Fannin Jr.,2574043,TE,CLE,BUF,,,,1,1,4,34,1,,,,,18.10,1,4,5,4,6,67,1,,,2,18.10
Kyle Pitts,2565830,TE,ATL,@ARI,,,,,,7,57,1,,,,,16.60,,7,7,7,9,78,2,1,,3,15.20
Chig Okonkwo,2567658,TE,TEN,KC,,,,,,6,44,1,,,,,15.30,,6,6,6,8,75,3,1,2,4,13.40
Taysom Hill,2558954,TE,NO,NYJ,38,1,,42,,4,36,,,,,1,28.12,12,4,16,4,6,67,,,,5,13.32
AJ Barner,2572513,TE,SEA,LAR,,,,1,,4,49,1,,,,,15.60,1,4,5,4,6,67,,,,6,13.00
Juwan Johnson,2564676,TE,NO,NYJ,,,,,,8,89,,,,,,28.12,,8,8,8,9,89,,,,7,12.90
Elijah Higgins,2570068,TE,ARI,ATL,,,,,,7,91,,,,,,17.30,,7,7,7,8,88,,,,8,12.60
Hunter Henry,2555341,TE,NE,@BAL,,,,,,6,35,1,,,,,16.90,,6,6,6,7,86,2,,1,9,12.50
Brenton Strange,2569912,TE,JAX,@DEN,,,,,,5,39,1,,,,,13.40,,5,5,5,7,71,3,2,1,10,12.40
Dalton Schultz,2560866,TE,HOU,LV,,,,,,5,35,1,,,,,13.70,,5,5,5,5,100,1,,1,11,12.00
Brock Bowers,2572219,TE,LV,@HOU,,,,,,5,33,1,,,,,12.80,,5,5,5,5,100,1,,,12,11.80
Mike Gesicki,2560994,TE,CIN,@MIA,,,,,,3,35,1,,,,,16.60,,3,3,3,4,75,1,,,13,11.00
Terrance Ferguson,2574267,TE,LAR,@SEA,,,,,,3,33,1,,,,,18.30,,3,3,3,4,75,1,,1,14,10.80
Dallas Goedert,2560995,TE,PHI,@WAS,,,,,,3,32,1,,,,,11.30,,3,3,3,3,100,1,,1,15,10.70
Ja'Tavion Sanders,2571892,TE,CAR,TB,,,,,,2,9,1,,,,,12.80,,2,2,2,2,100,1,,,16,7.90
Anthony Firkser,2558942,TE,DET,PIT,,,,,,4,40,,,,,,11.00,,4,4,4,4,100,,,,17,6.00
Stone Smartt,2569227,TE,NYJ,@NO,,,,,,5,34,,,,,,8.30,,5,5,5,5,100,,,,18,5.90
Darren Waller,2552408,TE,MIA,CIN,,,,,,3,40,,,,,,9.60,,3,3,3,5,60,,,,19,5.50
Luke Musgrave,2569780,TE,GB,@CHI,,,,,,3,38,,,,,,5.30,,3,3,3,3,100,,,,20,5.30
Jake Tonges,2567439,TE,SF,@IND,,,,,,1,7,,,,,,27.30,,1,1,1,2,50,,,,21,5.20
Shane Zylstra,2567172,TE,DET,PIT,,,,,,3,20,,,,,,11.00,,3,3,3,5,60,,,,22,5.00
Trey McBride,2568117,TE,ARI,ATL,,,,,,4,27,,,,,,17.30,,4,4,4,8,50,,,,23,4.70
Evan Engram,2557858,TE,DEN,JAX,,,,,,2,36,,,,,,7.60,,2,2,2,4,50,,,,24,4.60
Colston Loveland,2574014,TE,CHI,GB,,,,,,3,30,,,,,,6.90,,3,3,3,5,60,1,1,,25,4.50
Tyler Warren,2574204,TE,IND,SF,,,,,,3,30,,,,,,8.70,,3,3,3,9,33,,,,26,4.50
Davis Allen,2570017,TE,LAR,@SEA,,,,,,2,34,,,,,,18.30,,2,2,2,5,40,,,,27,4.40
Austin Hooper,2555415,TE,NE,@BAL,,,,,,2,34,,,,,,16.90,,2,2,2,4,50,,,,28,4.40
Will Dissly,2561046,TE,LAC,@DAL,,,,,,3,28,,,,,,5.50,,3,3,3,3,100,,,,29,4.30
Greg Dulcich,2567520,TE,MIA,CIN,,,,,,3,46,,,,,1,9.60,,3,3,3,3,100,,,,30,4.10
Drew Sample,2562720,TE,CIN,@MIA,,,,,,2,31,,,,,,16.60,,2,2,2,2,100,,,,31,4.10
Pat Freiermuth,2566442,TE,PIT,@DET,,,,,,4,20,,,,,,9.90,,4,4,4,4,100,,,,32,4.00
Mitchell Evans,2573978,TE,CAR,TB,,,,,,3,23,,,,,,12.80,,3,3,3,3,100,,,,33,3.80
Jackson Hawes,2573962,TE,BUF,@CLE,,,,,,2,26,,,,,,5.10,,2,2,2,2,100,,,,34,3.60
Mark Andrews,2560957,TE,BAL,NE,,,,3,,2,21,,,,,,5.70,1,2,3,2,3,67,,,,35,3.40
Jake Ferguson,2567496,TE,DAL,LAC,,,,,,3,19,,,,,,4.90,,3,3,3,4,75,,,,36,3.40
Colby Parkinson,2565180,TE,LAR,@SEA,,,,,,2,21,,,,,,18.30,,2,2,2,4,50,,,,37,3.10
Darnell Washington,2570257,TE,PIT,@DET,,,,,,3,36,,,,,1,9.90,,3,3,3,4,75,,,,38,3.10
Josh Oliver,2562693,TE,MIN,@NYG,,,,,,2,19,,,,,,3.60,,2,2,2,3,67,,,,39,2.90
Jonnu Smith,2558207,TE,PIT,@DET,,,,28,,,,,,,,,9.90,2,,2,,1,,,,,40,2.80
Mo Alie-Cox,2558832,TE,IND,SF,,,,,,2,16,,,,,,8.70,,2,2,2,2,100,,,,41,2.60
Eric Saubert,2558023,TE,SEA,LAR,,,,,,,,,,,1,,15.60,,,,,,,,,,42,2.60
Cade Otton,2568312,TE,TB,@CAR,,,,,,2,15,,,,,,2.50,,2,2,2,2,100,,,,43,2.50
Cole Kmet,2563704,TE,CHI,GB,,,,,,2,14,,,,,,6.90,,2,2,2,3,67,,,,44,2.40
Jeremy Ruckert,2568042,TE,NYJ,@NO,,,,,,2,14,,,,,,8.30,,2,2,2,3,67,,,,45,2.40
Adam Trautman,2564703,TE,DEN,JAX,,,,,,2,14,,,,,,7.60,,2,2,2,3,67,,,,46,2.40
Charlie Kolar,2567280,TE,BAL,NE,,,,,,1,18,,,,,,5.70,,1,1,1,1,100,,,,47,2.30
Gunnar Helm,2574152,TE,TEN,KC,,,,,,2,9,,,,,,15.30,,2,2,2,3,67,,,,48,1.90
Cade Stover,2572105,TE,HOU,LV,,,,,,2,7,,,,,,13.70,,2,2,2,3,67,,,,49,1.70
Andrew Ogletree,2567712,TE,IND,SF,,,,,,1,11,,,,,,8.70,,1,1,1,2,50,,,,50,1.60
Dawson Knox,2562681,TE,BUF,@CLE,,,,,,1,10,,,,,,5.10,,1,1,1,2,50,,,,51,1.50
Carter Runyon,2574308,TE,LV,@HOU,,,,,,,,,,,,,12.80,,,,,,,,,,52,1.50
Brevyn Spann-Ford,2573064,TE,DAL,LAC,,,,,,,,,,,,,4.90,,,,,,,,,,53,1.50
Charlie Woerner,2565129,TE,ATL,@ARI,,,,,,1,3,,,,,,16.60,,1,1,1,1,100,,,,54,1.40
Oronde Gadsden II,2574511,TE,LAC,@DAL,,,,,,1,7,,,,,,5.50,,1,1,1,1,100,,,,55,1.20
Luke Farrell,2566160,TE,SF,@IND,,,,,,,,,,,,,27.30,,,,,,,,,,56,1.10
Travis Kelce,2540258,TE,KC,@TEN,,,,,,1,6,,,,,,1.10,,1,1,1,4,25,,,,57,1.10
Tommy Tremble,2565914,TE,CAR,TB,,,,,,1,6,,,,,,12.80,,1,1,1,1,100,,,,58,1.10
Foster Moreau,2562317,TE,NO,NYJ,,,,,,1,5,,,,,,28.12,,1,1,1,1,100,,,,59,1.00
Quintin Morris,2566641,TE,JAX,@DEN,,,,,,1,5,,,,,,13.40,,1,1,1,1,100,,,,60,1.00
Ben Sinnott,2572585,TE,WAS,PHI,,,,,,1,5,,,,,,1.00,,1,1,1,2,50,,,,61,1.00
Tanner Hudson,2561215,TE,CIN,@MIA,,,,,,1,4,,,,,,16.60,,1,1,1,1,100,,,,62,0.90
Jack Stoll,2567061,TE,NO,NYJ,,,,,,1,4,,,,,,28.12,,1,1,1,2,50,,,,63,0.90
T.J. Hockenson,2562378,TE,MIN,@NYG,,,,,,1,2,,,,,,3.60,,1,1,1,1,100,,,,64,0.70
Nate Adkins,2570930,TE,DEN,JAX,,,,,,,,,,,,,7.60,,,,,1,,,,,65,0.60
Cam Grandy,2572995,TE,CIN,@MIA,,,,,,1,1,,,,,,16.60,,1,1,1,1,100,,,,66,0.60
Kylen Granson,2566145,TE,PHI,@WAS,,,,,,,,,,,,,11.30,,,,,,,,,,67,0.60
Erick All,2571916,TE,CIN,@MIA,,,,,,,,,,,,,16.60,,,,,,,,,,68,0.00
Elijah Arroyo,2574554,TE,SEA,LAR,,,,,,,,,,,,,15.60,,,,,,,,,,69,0.00
Gavin Bartholomew,2574337,TE,MIN,@NYG,,,,,,,,,,,,,3.60,,,,,,,,,,70,0.00
Brenden Bates,2572953,TE,CLE,BUF,,,,,,,,,,,,,18.10,,,,,1,,,,,71,0.00
John Bates,2566580,TE,WAS,PHI,,,,,,,,,,,,,1.00,,,,,1,,,,,72,0.00
Jaheim Bell,2572288,TE,PIT,@DET,,,,,,,,,,,,,9.90,,,,,,,,,,73,0.00
Daniel Bellinger,2567985,TE,NYG,MIN,,,,,,,,,,,,,0.00,,,,,,,,,,74,0.00
Shawn Bowman,2573689,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,75,0.00
Jake Briningstool,2574240,TE,KC,@TEN,,,,,,,,,,,,,1.10,,,,,,,,,,76,0.00
Pharaoh Brown,2559018,TE,ARI,ATL,,,,,,,,,,,,,17.30,,,,,,,,,,77,0.00
Harrison Bryant,2563767,TE,HOU,LV,,,,,,,,,,,,,13.70,,,,,,,,,,78,0.00
Lawrence Cager,2565492,TE,WAS,PHI,,,,,,,,,,,,,1.00,,,,,,,,,,79,0.00
Grant Calcaterra,2568063,TE,PHI,@WAS,,,,,,,,,,,,,11.30,,,,,,,,,,80,0.00
Sal Cannella,2567197,TE,CLE,BUF,,,,,,,,,,,,,18.10,,,,,,,,,,81,0.00
Oscar Cardenas,2574479,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,82,0.00
Stephen Carlson,2563044,TE,CHI,GB,,,,,,,,,,,,,6.90,,,,,,,,,,83,0.00
McCallan Castles,2572732,TE,GB,@CHI,,,,,,,,,,,,,5.30,,,,,,,,,,84,0.00
Tyler Conklin,2561027,TE,LAC,@DAL,,,,,,,,,,,,,5.50,,,,,,,,,,85,0.00
Tanner Conner,2569017,TE,NYG,MIN,,,,,,,,,,,,,0.00,,,,,,,,,,86,0.00
Pat Conroy,2574289,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,87,0.00
Jalin Conyers,2574320,TE,MIA,CIN,,,,,,,,,,,,,9.60,,,,,,,,,,88,0.00
John Copenhaver,2574212,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,89,0.00
Devin Culp,2572543,TE,TB,@CAR,,,,,,,,,,,,,2.50,,,,,,,,,,90,0.00
Baylor Cupp,2572820,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,91,0.00
Drake Dabney,2574146,TE,GB,@CHI,,,,,,,,,,,,,5.30,,,,,,,,,,92,0.00
Dominique Dafney,2565540,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,93,0.00
Zach Davidson,2566301,TE,NYG,MIN,,,,,,,,,,,,,0.00,,,,,,,,,,94,0.00
Tyler Davis,2564178,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,95,0.00
Luke Deal,2574107,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,96,0.00
Josiah Deguara,2563980,TE,ARI,ATL,,,,,,,,,,,,,17.30,,,,,1,,,,,97,0.00
CJ Dippre,2574372,TE,NE,@BAL,,,,,,,,,,,,,16.90,,,,,,,,,,98,0.00
Payne Durham,2570353,TE,TB,@CAR,,,,,,,,,,,,,2.50,,,,,,,,,,99,0.00
Ross Dwelley,2561060,TE,CAR,TB,,,,,,,,,,,,,12.80,,,,,,,,,,100,0.00
Zach Ertz,2540158,TE,WAS,PHI,,,,,,,,,,,,,1.00,,,,,,,,,,101,0.00
Gerald Everett,2557889,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,102,0.00
Rivaldo Fairweather,2574074,TE,ARI,ATL,,,,,,,,,,,,,17.30,,,,,,,,,,103,0.00
Noah Fant,2562383,TE,CIN,@MIA,,,,,,,,,,,,,16.60,,,,,,,,,,104,0.00
Princeton Fant,2570891,TE,DAL,LAC,,,,,,,,,,,,,4.90,,,,,,,,,,105,0.00
Thomas Fidone II,2574421,TE,NYG,MIN,,,,,,,,,,,,,0.00,,,,,,,,,,106,0.00
Tucker Fisk,2569324,TE,LAC,@DAL,,,,,,,,,,,,,5.50,,,,,,,,,,107,0.00
John FitzPatrick,2567241,TE,GB,@CHI,,,,,,,,,,,,,5.30,,,,,1,,,,,108,0.00
Kevin Foelsch,2573861,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,109,0.00
Cole Fotheringham,2568972,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,110,0.00
Feleipe Franks,2566683,TE,ATL,@ARI,,,,,,,,,,,,,16.60,,,,,,,,,,111,0.00
JJ Galbreath,2574492,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,112,0.00
Reggie Gilliam,2565378,TE,BUF,@CLE,,,,,,,,,,,,,5.10,,,,,,,,,,113,0.00
Thomas Gordon,2574655,TE,CHI,GB,,,,,,,,,,,,,6.90,,,,,,,,,,114,0.00
Noah Gray,2566178,TE,KC,@TEN,,,,,,,,,,,,,1.10,,,,,,,,,,115,0.00
Seth Green,2568864,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,116,0.00
Patrick Herbert,2574216,TE,JAX,@DEN,,,,,,,,,,,,,13.40,,,,,,,,,,117,0.00
Connor Heyward,2568138,TE,PIT,@DET,,,,,,,,,,,,,9.90,,,,,,,,,,118,0.00
Tyler Higbee,2555364,TE,LAR,@SEA,,,,,,,,,,,,,18.30,,,,,,,,,,119,0.00
Julian Hill,2571129,TE,MIA,CIN,,,,,,,,,,,,,9.60,,,,,,,,,,120,0.00
Dallin Holker,2573373,TE,FA,Bye,,,,,,,,,,,,,,,,,,,,,,,121,0.00
